1;0;831.00;9.80;250.00;0.00;0.72
2;0;1040.00;10.97;184.00;0.00;0.60
3;0;1114.00;11.50;450.00;0.00;0.68
4;0;1187.00;11.82;366.00;0.00;0.72
5;0;1105.00;12.97;478.00;0.00;0.76
6;0;989.00;10.40;158.00;0.00;0.56
7;0;1067.00;10.10;574.00;0.00;0.68
8;0;1000.00;10.40;579.00;0.00;0.48
9;0;701.00;10.20;473.00;0.00;0.52
10;0;726.00;10.52;407.00;0.00;0.72
11;0;780.00;13.15;519.00;0.00;0.80
12;0;783.00;10.45;410.00;0.00;0.76
13;0;790.00;10.35;352.00;0.00;0.80
14;0;911.00;10.90;253.00;0.00;0.68
15;0;850.00;15.50;428.00;0.00;0.76
16;0;1114.00;11.87;517.00;0.00;0.84
17;0;778.00;12.05;453.00;0.00;0.60
18;0;1227.00;12.47;482.00;0.00;0.84
19;0;926.00;10.40;579.00;0.00;0.68
20;0;1279.00;11.80;343.00;0.00;0.80
21;0;857.00;11.60;538.00;0.00;0.76
22;0;989.00;12.25;460.00;0.00;0.68
23;0;1094.00;13.87;365.00;0.00;0.64
24;0;878.00;10.37;219.00;0.00;0.64
25;0;1244.00;10.90;319.00;0.00;0.76
26;0;954.00;10.50;239.00;0.00;0.64
27;0;861.00;13.75;389.00;0.00;0.68
28;0;915.00;10.80;557.00;0.00;0.68
29;0;1179.00;13.35;539.00;0.00;0.64
30;0;998.00;13.60;497.00;0.00;0.72
31;0;1080.00;11.12;283.00;0.00;0.60
32;0;759.00;9.90;287.00;0.00;0.76
33;0;853.00;10.75;485.00;0.00;0.76
34;0;996.00;10.97;330.00;0.00;0.64
35;0;758.00;10.50;240.00;0.00;0.56
36;0;1192.00;12.97;482.00;0.00;0.88
37;0;967.00;10.30;268.00;0.00;0.64
38;0;1098.00;10.20;193.00;0.00;0.76
39;0;911.00;10.70;455.00;0.00;0.72
40;0;1260.00;12.50;389.00;0.00;0.68
41;0;835.00;12.07;392.00;0.00;0.64
42;0;736.00;11.05;439.00;0.00;0.56
43;0;1038.00;11.60;546.00;0.00;0.40
