2;arms_factory;1014.00;10.60;124.00;1.96;0
2;arms_factory;982.00;10.30;126.00;6.08;0
2;arms_factory;1001.00;10.15;115.00;6.18;0
2;arms_factory;1007.00;11.10;135.00;4.02;0
2;arms_factory;1016.00;10.40;114.00;0.41;0
2;arms_factory;986.00;10.32;128.00;3.07;0
2;industrial_complex;980.00;10.20;119.00;6.09;0
2;industrial_complex;979.00;10.15;128.00;2.47;0
2;industrial_complex;991.00;10.60;137.00;5.13;0
2;industrial_complex;989.00;9.90;111.00;1.52;0
2;industrial_complex;983.00;10.15;137.00;4.54;0
2;industrial_complex;977.00;10.00;130.00;5.74;0
2;air_base;990.00;10.30;120.00;3.58;0
2;naval_base;990.00;9.50;108.00;0.24;1263
2;naval_base;979.00;9.50;142.00;-1.92;1262
2;naval_base;1001.00;9.50;107.00;-0.62;1263
2;bunker;993.00;10.75;138.00;2.03;0
2;bunker;998.00;10.10;113.00;5.05;0
2;bunker;983.00;10.32;125.00;6.25;0
2;bunker;1003.00;10.55;126.00;4.09;0
2;coastal_bunker;973.00;9.90;122.00;-1.95;0
2;coastal_bunker;1000.00;9.50;107.00;-0.62;0
2;coastal_bunker;976.00;9.60;147.00;-2.32;0
2;dockyard;977.00;9.50;145.00;-1.92;0
2;anti_air_building;992.00;10.50;127.00;3.74;0
2;anti_air_building;990.00;10.23;118.00;0.48;0
2;anti_air_building;985.00;9.88;111.00;3.14;0
2;synthetic_refinery;1001.00;10.93;136.00;5.81;0
2;fuel_silo;995.00;10.00;111.00;2.54;0
2;radar_station;997.00;10.60;126.00;0.63;0
2;rocket_site;1006.00;10.45;122.00;1.59;0
2;nuclear_reactor;978.00;10.15;120.00;4.25;0
3;arms_factory;1017.00;10.20;110.00;6.18;0
3;arms_factory;1016.00;9.95;107.00;4.02;0
3;arms_factory;1019.00;10.20;111.00;0.41;0
3;arms_factory;1014.00;10.00;107.00;3.07;0
3;arms_factory;1021.00;10.15;109.00;6.09;0
3;arms_factory;1021.00;10.00;107.00;2.47;0
3;industrial_complex;1020.00;10.10;109.00;5.13;0
3;industrial_complex;1019.00;9.95;107.00;1.52;0
3;industrial_complex;1019.00;10.18;110.00;4.54;0
3;industrial_complex;1018.00;9.90;107.00;5.74;0
